0-th traing, T = 100, ErrorRate = 33% (33/100)
100-th traing, T = 36.6032341273, ErrorRate = 50% (50/100)
101-th traing, T = 36.237201786, ErrorRate = 50% (50/100)
102-th traing, T = 35.8748297682, ErrorRate = 50% (50/100)
103-th traing, T = 35.5160814705, ErrorRate = 50% (50/100)
104-th traing, T = 35.1609206558, ErrorRate = 50% (50/100)
105-th traing, T = 34.8093114492, ErrorRate = 50% (50/100)
106-th traing, T = 34.4612183348, ErrorRate = 50% (50/100)
107-th traing, T = 34.1166061514, ErrorRate = 50% (50/100)
108-th traing, T = 33.7754400899, ErrorRate = 50% (50/100)
109-th traing, T = 33.437685689, ErrorRate = 50% (50/100)
110-th traing, T = 33.1033088321, ErrorRate = 50% (50/100)
111-th traing, T = 32.7722757438, ErrorRate = 50% (50/100)
112-th traing, T = 32.4445529863, ErrorRate = 50% (50/100)
113-th traing, T = 32.1201074565, ErrorRate = 50% (50/100)
114-th traing, T = 31.7989063819, ErrorRate = 50% (50/100)
115-th traing, T = 31.4809173181, ErrorRate = 50% (50/100)
116-th traing, T = 31.1661081449, ErrorRate = 50% (50/100)
117-th traing, T = 30.8544470635, ErrorRate = 50% (50/100)
118-th traing, T = 30.5459025928, ErrorRate = 50% (50/100)
119-th traing, T = 30.2404435669, ErrorRate = 50% (50/100)
120-th traing, T = 29.9380391312, ErrorRate = 50% (50/100)
121-th traing, T = 29.6386587399, ErrorRate = 50% (50/100)
122-th traing, T = 29.3422721525, ErrorRate = 50% (50/100)
123-th traing, T = 29.048849431, ErrorRate = 50% (50/100)
124-th traing, T = 28.7583609367, ErrorRate = 50% (50/100)
125-th traing, T = 28.4707773273, ErrorRate = 50% (50/100)
126-th traing, T = 28.186069554, ErrorRate = 50% (50/100)
127-th traing, T = 27.9042088585, ErrorRate = 50% (50/100)
128-th traing, T = 27.6251667699, ErrorRate = 50% (50/100)
129-th traing, T = 27.3489151022, ErrorRate = 50% (50/100)
130-th traing, T = 27.0754259512, ErrorRate = 50% (50/100)
131-th traing, T = 26.8046716917, ErrorRate = 50% (50/100)
132-th traing, T = 26.5366249748, ErrorRate = 50% (50/100)
133-th traing, T = 26.271258725, ErrorRate = 50% (50/100)
134-th traing, T = 26.0085461378, ErrorRate = 50% (50/100)
135-th traing, T = 25.7484606764, ErrorRate = 50% (50/100)
136-th traing, T = 25.4909760696, ErrorRate = 50% (50/100)
137-th traing, T = 25.2360663089, ErrorRate = 50% (50/100)
138-th traing, T = 24.9837056458, ErrorRate = 50% (50/100)
139-th traing, T = 24.7338685894, ErrorRate = 50% (50/100)
140-th traing, T = 24.4865299035, ErrorRate = 50% (50/100)
141-th traing, T = 24.2416646045, ErrorRate = 50% (50/100)
142-th traing, T = 23.9992479584, ErrorRate = 50% (50/100)
143-th traing, T = 23.7592554788, ErrorRate = 50% (50/100)
144-th traing, T = 23.521662924, ErrorRate = 50% (50/100)
145-th traing, T = 23.2864462948, ErrorRate = 50% (50/100)
146-th traing, T = 23.0535818319, ErrorRate = 50% (50/100)
147-th traing, T = 22.8230460135, ErrorRate = 50% (50/100)
148-th traing, T = 22.5948155534, ErrorRate = 50% (50/100)
149-th traing, T = 22.3688673979, ErrorRate = 50% (50/100)
150-th traing, T = 22.1451787239, ErrorRate = 50% (50/100)
151-th traing, T = 21.9237269366, ErrorRate = 50% (50/100)
152-th traing, T = 21.7044896673, ErrorRate = 50% (50/100)
153-th traing, T = 21.4874447706, ErrorRate = 50% (50/100)
154-th traing, T = 21.2725703229, ErrorRate = 50% (50/100)
155-th traing, T = 21.0598446197, ErrorRate = 50% (50/100)
156-th traing, T = 20.8492461735, ErrorRate = 50% (50/100)
157-th traing, T = 20.6407537117, ErrorRate = 50% (50/100)
158-th traing, T = 20.4343461746, ErrorRate = 50% (50/100)
159-th traing, T = 20.2300027129, ErrorRate = 50% (50/100)
160-th traing, T = 20.0277026857, ErrorRate = 50% (50/100)
161-th traing, T = 19.8274256589, ErrorRate = 50% (50/100)
162-th traing, T = 19.6291514023, ErrorRate = 50% (50/100)
163-th traing, T = 19.4328598883, ErrorRate = 50% (50/100)
164-th traing, T = 19.2385312894, ErrorRate = 50% (50/100)
165-th traing, T = 19.0461459765, ErrorRate = 50% (50/100)
166-th traing, T = 18.8556845167, ErrorRate = 50% (50/100)
167-th traing, T = 18.6671276716, ErrorRate = 50% (50/100)
168-th traing, T = 18.4804563949, ErrorRate = 50% (50/100)
169-th traing, T = 18.2956518309, ErrorRate = 50% (50/100)
170-th traing, T = 18.1126953126, ErrorRate = 50% (50/100)
171-th traing, T = 17.9315683595, ErrorRate = 50% (50/100)
172-th traing, T = 17.7522526759, ErrorRate = 50% (50/100)
173-th traing, T = 17.5747301491, ErrorRate = 50% (50/100)
174-th traing, T = 17.3989828476, ErrorRate = 50% (50/100)
175-th traing, T = 17.2249930192, ErrorRate = 50% (50/100)
176-th traing, T = 17.052743089, ErrorRate = 50% (50/100)
177-th traing, T = 16.8822156581, ErrorRate = 50% (50/100)
178-th traing, T = 16.7133935015, ErrorRate = 50% (50/100)
179-th traing, T = 16.5462595665, ErrorRate = 50% (50/100)
180-th traing, T = 16.3807969708, ErrorRate = 50% (50/100)
181-th traing, T = 16.2169890011, ErrorRate = 50% (50/100)
182-th traing, T = 16.0548191111, ErrorRate = 50% (50/100)
183-th traing, T = 15.89427092, ErrorRate = 50% (50/100)
184-th traing, T = 15.7353282108, ErrorRate = 50% (50/100)
185-th traing, T = 15.5779749287, ErrorRate = 50% (50/100)
186-th traing, T = 15.4221951794, ErrorRate = 50% (50/100)
187-th traing, T = 15.2679732276, ErrorRate = 50% (50/100)
188-th traing, T = 15.1152934953, ErrorRate = 50% (50/100)
189-th traing, T = 14.9641405604, ErrorRate = 50% (50/100)
190-th traing, T = 14.8144991548, ErrorRate = 50% (50/100)
191-th traing, T = 14.6663541632, ErrorRate = 50% (50/100)
192-th traing, T = 14.5196906216, ErrorRate = 50% (50/100)
193-th traing, T = 14.3744937154, ErrorRate = 50% (50/100)
194-th traing, T = 14.2307487782, ErrorRate = 50% (50/100)
195-th traing, T = 14.0884412904, ErrorRate = 50% (50/100)
196-th traing, T = 13.9475568775, ErrorRate = 50% (50/100)
197-th traing, T = 13.8080813087, ErrorRate = 50% (50/100)
198-th traing, T = 13.6700004957, ErrorRate = 50% (50/100)
199-th traing, T = 13.5333004907, ErrorRate = 50% (50/100)
200-th traing, T = 13.3979674858, ErrorRate = 50% (50/100)
201-th traing, T = 13.2639878109, ErrorRate = 50% (50/100)
202-th traing, T = 13.1313479328, ErrorRate = 50% (50/100)
203-th traing, T = 13.0000344535, ErrorRate = 50% (50/100)
204-th traing, T = 12.870034109, ErrorRate = 50% (50/100)
205-th traing, T = 12.7413337679, ErrorRate = 50% (50/100)
206-th traing, T = 12.6139204302, ErrorRate = 50% (50/100)
207-th traing, T = 12.4877812259, ErrorRate = 50% (50/100)
208-th traing, T = 12.3629034136, ErrorRate = 50% (50/100)
209-th traing, T = 12.2392743795, ErrorRate = 50% (50/100)
210-th traing, T = 12.1168816357, ErrorRate = 50% (50/100)
211-th traing, T = 11.9957128193, ErrorRate = 50% (50/100)
212-th traing, T = 11.8757556912, ErrorRate = 50% (50/100)
213-th traing, T = 11.7569981342, ErrorRate = 50% (50/100)
214-th traing, T = 11.6394281529, ErrorRate = 50% (50/100)
215-th traing, T = 11.5230338714, ErrorRate = 50% (50/100)
216-th traing, T = 11.4078035327, ErrorRate = 50% (50/100)
217-th traing, T = 11.2937254973, ErrorRate = 50% (50/100)
218-th traing, T = 11.1807882424, ErrorRate = 50% (50/100)
219-th traing, T = 11.0689803599, ErrorRate = 50% (50/100)
220-th traing, T = 10.9582905563, ErrorRate = 50% (50/100)
221-th traing, T = 10.8487076508, ErrorRate = 50% (50/100)
222-th traing, T = 10.7402205743, ErrorRate = 50% (50/100)
223-th traing, T = 10.6328183685, ErrorRate = 50% (50/100)
224-th traing, T = 10.5264901848, ErrorRate = 50% (50/100)
225-th traing, T = 10.421225283, ErrorRate = 50% (50/100)
226-th traing, T = 10.3170130302, ErrorRate = 50% (50/100)
227-th traing, T = 10.2138428999, ErrorRate = 50% (50/100)
228-th traing, T = 10.1117044709, ErrorRate = 50% (50/100)
229-th traing, T = 10.0105874261, ErrorRate = 50% (50/100)
230-th traing, T = 9.91048155189, ErrorRate = 50% (50/100)
231-th traing, T = 9.81137673637, ErrorRate = 50% (50/100)
232-th traing, T = 9.713262969, ErrorRate = 50% (50/100)
233-th traing, T = 9.61613033931, ErrorRate = 50% (50/100)
234-th traing, T = 9.51996903592, ErrorRate = 50% (50/100)
235-th traing, T = 9.42476934556, ErrorRate = 50% (50/100)
236-th traing, T = 9.33052165211, ErrorRate = 50% (50/100)
237-th traing, T = 9.23721643559, ErrorRate = 50% (50/100)
238-th traing, T = 9.14484427123, ErrorRate = 50% (50/100)
239-th traing, T = 9.05339582852, ErrorRate = 50% (50/100)
240-th traing, T = 8.96286187023, ErrorRate = 50% (50/100)
241-th traing, T = 8.87323325153, ErrorRate = 50% (50/100)
242-th traing, T = 8.78450091901, ErrorRate = 50% (50/100)
243-th traing, T = 8.69665590982, ErrorRate = 50% (50/100)
244-th traing, T = 8.60968935073, ErrorRate = 50% (50/100)
245-th traing, T = 8.52359245722, ErrorRate = 50% (50/100)
246-th traing, T = 8.43835653265, ErrorRate = 50% (50/100)
247-th traing, T = 8.35397296732, ErrorRate = 50% (50/100)
248-th traing, T = 8.27043323765, ErrorRate = 50% (50/100)
249-th traing, T = 8.18772890527, ErrorRate = 50% (50/100)
250-th traing, T = 8.10585161622, ErrorRate = 50% (50/100)
251-th traing, T = 8.02479310006, ErrorRate = 50% (50/100)
252-th traing, T = 7.94454516906, ErrorRate = 50% (50/100)
253-th traing, T = 7.86509971736, ErrorRate = 50% (50/100)
254-th traing, T = 7.78644872019, ErrorRate = 50% (50/100)
255-th traing, T = 7.70858423299, ErrorRate = 50% (50/100)
256-th traing, T = 7.63149839066, ErrorRate = 50% (50/100)
257-th traing, T = 7.55518340675, ErrorRate = 50% (50/100)
258-th traing, T = 7.47963157269, ErrorRate = 50% (50/100)
259-th traing, T = 7.40483525696, ErrorRate = 50% (50/100)
260-th traing, T = 7.33078690439, ErrorRate = 50% (50/100)
261-th traing, T = 7.25747903534, ErrorRate = 50% (50/100)
262-th traing, T = 7.18490424499, ErrorRate = 50% (50/100)
263-th traing, T = 7.11305520254, ErrorRate = 50% (50/100)
264-th traing, T = 7.04192465052, ErrorRate = 50% (50/100)
265-th traing, T = 6.97150540401, ErrorRate = 50% (50/100)
266-th traing, T = 6.90179034997, ErrorRate = 50% (50/100)
267-th traing, T = 6.83277244647, ErrorRate = 50% (50/100)
268-th traing, T = 6.76444472201, ErrorRate = 50% (50/100)
269-th traing, T = 6.69680027479, ErrorRate = 50% (50/100)
270-th traing, T = 6.62983227204, ErrorRate = 50% (50/100)
271-th traing, T = 6.56353394932, ErrorRate = 50% (50/100)
